variable,correlation,p_value
age,0.1325524179103248,2.0572540175185976e-193
length_of_service,0.025808178294008284,8.838319591276162e-09
job_title,0.029965061686230535,2.415120774869425e-11
store_name,-0.021960268335576988,9.887557459246335e-07
STATUS_YEAR,0.004374252940713091,0.3297126374619781
hire_age,0.1999918772529439,0.0
hire_quarter,-0.006507106420895909,0.14707125820451913
hire_year,-0.034725700539684184,9.937695987632797e-15
hire_month,-0.005802599626372487,0.19602181993815582
